run_name,run_dir,project.run_name,project.output_dir,project.seed,project.device,project.num_workers,project.save_features,project.save_models,project.save_plots,project.run_dir_mode,project.reuse_existing_run,dataset.name,dataset.root,dataset.download,dataset.fixed_subset,dataset.split_dir,dataset.regenerate_subset,dataset.train_size,dataset.test_size,dataset.train_batch_size,dataset.eval_batch_size,dataset.normalize,dataset.mean,dataset.std,dataset.augment_train,dataset.random_crop_padding,dataset.random_horizontal_flip,dataset.random_affine_degrees,dataset.random_translate,dataset.pin_memory,feature.kind,feature.scale_before_cluster,feature.pca.n_components,feature.pca.whiten,feature.ae.model_type,feature.ae.latent_dim,feature.ae.hidden_dims,feature.ae.lr,feature.ae.weight_decay,feature.ae.epochs,feature.ae.loss,feature.cnn.arch,feature.cnn.channels,feature.cnn.embedding_dim,feature.cnn.dropout,feature.cnn.use_batchnorm,feature.cnn.training_type,feature.cnn.lr,feature.cnn.weight_decay,feature.cnn.epochs,feature.cnn.optimizer,clustering.method,clustering.n_clusters,clustering.kmeans.n_init,clustering.kmeans.max_iter,clustering.gmm.covariance_type,clustering.gmm.n_init,clustering.gmm.reg_covar,clustering.gmm.max_iter,evaluation.silhouette_sample_size,visualization.dataset_overview.enabled,visualization.dataset_overview.shared,visualization.dataset_overview.output_dir,visualization.dataset_overview.sample_count,visualization.dataset_overview.cols,visualization.feature_pca2.enabled,visualization.feature_pca2.splits,visualization.max_points_2d,visualization.cluster_samples_per_cluster,visualization.max_clusters_to_plot,visualization.mapped_class_grid.enabled,visualization.mapped_class_grid.split,visualization.mapped_class_grid.samples_per_class,visualization.mapped_class_grid.cols,visualization.tsne.enabled,visualization.tsne.sample_size,visualization.tsne.perplexity,batch.auto_compare,batch.continue_on_error,ARI,NMI,purity,silhouette,train_ARI,train_NMI,train_purity,train_silhouette,feature.foundation.provider,feature.foundation.model,feature.foundation.input_size
kmnist_resnet18_e20_kmeans_full,outputs\runs\kmnist_resnet18_e20_kmeans_full,kmnist_resnet18_e20_kmeans_full,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,0,0,128,256,True,,,True,0.0,False,10.0,0.1,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.9283697045566464,0.9237627792439046,0.9672,0.5425980687141418,0.9837883022417415,0.9780293872668094,0.9926666666666667,0.6027436256408691,,,
kmnist_resnet18_e20_kmeans,outputs\runs\kmnist_resnet18_e20_kmeans,kmnist_resnet18_e20_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,True,,,True,0.0,False,10.0,0.1,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.8916376405877012,0.8957003909561689,0.9493333333333334,0.4500248432159424,0.9898887507911551,0.9878453364096101,0.9953333333333333,0.5731654167175293,,,
kmnist_resnet18_e20_gmm,outputs\runs\kmnist_resnet18_e20_gmm,kmnist_resnet18_e20_gmm,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,True,,,True,0.0,False,10.0,0.1,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,gmm,10,50,500,diag,3,0.0001,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.861102079994104,0.8675003140860591,0.935,0.44115149974823,0.9878249586997695,0.9849104388278656,0.9944166666666666,0.5722379684448242,,,
kmnist_cnn128_kmeans_full,outputs\runs\kmnist_cnn128_kmeans_full,kmnist_cnn128_kmeans_full,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,0,0,128,256,False,,,False,0.0,False,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.8185768671795806,0.8276466015370717,0.9139,0.2450593262910843,0.9537241083930013,0.9448620465122334,0.9789666666666667,0.32590487599372864,,,
cifar10_dinov2_vits14_kmeans_full,outputs\runs\cifar10_dinov2_vits14_kmeans_full,cifar10_dinov2_vits14_kmeans_full,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,0,0,128,256,False,,,False,0.0,False,0.0,0.0,True,foundation,True,10,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.7969499228355561,0.841447464827918,0.9053,0.07887721061706543,0.801541903681009,0.8451307248367848,0.90718,0.0780353844165802,dinov2,dinov2_vits14,224.0
cifar10_resnet18_e100_kmeans_full,outputs\runs\cifar10_resnet18_e100_kmeans_full,cifar10_resnet18_e100_kmeans_full,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,0,0,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,10,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,100,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.7177137838059423,0.757089763943364,0.8648,0.3616495728492737,0.7903228978065004,0.8144728460395964,0.90256,0.38171058893203735,dinov2,dinov2_vits14,224.0
kmnist_resnet18_e20_gmm_full,outputs\runs\kmnist_resnet18_e20_gmm_full,kmnist_resnet18_e20_gmm_full,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,0,0,128,256,True,,,True,0.0,False,10.0,0.1,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,gmm,10,50,500,diag,3,0.0001,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.7022622197052668,0.8278542957425928,0.8782,0.45943987369537354,0.8869252185944206,0.9166815362500366,0.9520333333333333,0.5530390739440918,,,
cifar10_resnet18_e50_kmeans_full,outputs\runs\cifar10_resnet18_e50_kmeans_full,cifar10_resnet18_e50_kmeans_full,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,0,0,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,10,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,50,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.6919876548364576,0.7467106147805919,0.8478,0.34917065501213074,0.7706975821140567,0.8073693079251354,0.88966,0.3697752058506012,dinov2,dinov2_vits14,224.0
kmnist_cnn128_kmeans,outputs\runs\kmnist_cnn128_kmeans,kmnist_cnn128_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,,,,,,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,,,128,,,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.6492193292002094,0.7099971975842904,0.8146666666666667,0.2374192476272583,0.9027120786122895,0.9092096997531922,0.95375,0.3409818112850189,,,
cifar10_resnet18_e20_kmeans_full,outputs\runs\cifar10_resnet18_e20_kmeans_full,cifar10_resnet18_e20_kmeans_full,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,0,0,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.6407756564189132,0.7252070456875468,0.7825,0.27466127276420593,0.6990128153560803,0.777131611801713,0.8105,0.2980351746082306,,,
kmnist_cnn256_wide_do025_kmeans,outputs\runs\kmnist_cnn256_wide_do025_kmeans,kmnist_cnn256_wide_do025_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,True,0.0,False,10.0,0.1,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[64, 128, 256]",256,0.25,True,supervised_classifier,0.001,0.0001,12,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.588575112602654,0.7225372819373985,0.7793333333333333,0.1922728568315506,0.8332447732389338,0.8742631200862276,0.9195,0.29318955540657043,,,
cifar10_resnet18_e20_kmeans,outputs\runs\cifar10_resnet18_e20_kmeans,cifar10_resnet18_e20_kmeans,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,12000,3000,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.36418973498796164,0.554348036807388,0.629,0.21767957508563995,0.42854949434913736,0.6096513793579994,0.67325,0.24741661548614502,,,
cifar10_cnn256_wide_aug_kmeans,outputs\runs\cifar10_cnn256_wide_aug_kmeans,cifar10_cnn256_wide_aug_kmeans,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,12000,3000,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[64, 128, 256]",256,0.25,True,supervised_classifier,0.001,0.0001,20,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.35273253275886024,0.5176586566474475,0.632,0.1340036690235138,0.43034895056600353,0.5861770891452448,0.6884166666666667,0.13411188125610352,,,
cifar10_resnet18_e20_gmm_full,outputs\runs\cifar10_resnet18_e20_gmm_full,cifar10_resnet18_e20_gmm_full,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,0,0,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,gmm,10,50,500,diag,3,0.0001,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.31776189324018866,0.5578414849720821,0.5434,0.16539785265922546,0.3421139530863203,0.582592411205628,0.56066,0.17947918176651,,,
kmnist_pca10_kmeans,outputs\runs\kmnist_pca10_kmeans,kmnist_pca10_kmeans,outputs,42,auto,0,True,True,True,name,False,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,10,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.15528503349941689,0.2833729441833108,0.401,0.12949618697166443,0.3129963301962286,0.4304359960936164,0.53925,0.17083534598350525,,,
kmnist_pca20_kmeans,outputs\runs\kmnist_pca20_kmeans,kmnist_pca20_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,20,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.14726125054003536,0.28225966814109377,0.389,0.06732604652643204,0.3136959215212572,0.43382976958252506,0.54325,0.084366075694561,,,
kmnist_ae256_e5_kmeans,outputs\runs\kmnist_ae256_e5_kmeans,kmnist_ae256_e5_kmeans,outputs,42,auto,0,True,True,True,name,False,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,10,False,mlp,256,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.1350600278839249,0.29917615218932603,0.41333333333333333,0.16250301897525787,0.27351564344556617,0.4255940852788504,0.5348333333333334,0.17347770929336548,,,
kmnist_ae512_e5_kmeans,outputs\runs\kmnist_ae512_e5_kmeans,kmnist_ae512_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,512,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.12681800509440794,0.2875846663719476,0.407,0.1468460112810135,0.2691974573300625,0.40857890910720884,0.52925,0.1595470905303955,,,
kmnist_ae128_e5_kmeans,outputs\runs\kmnist_ae128_e5_kmeans,kmnist_ae128_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,128,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.11902473076890623,0.26763273883369737,0.392,0.1375671923160553,0.27440849004872425,0.40375896758684826,0.5291666666666667,0.17061538994312286,,,
kmnist_ae4_e5_kmeans,outputs\runs\kmnist_ae4_e5_kmeans,kmnist_ae4_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,4,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.11457388072068456,0.24046378915324898,0.36033333333333334,0.22439193725585938,0.23495468675002723,0.3679623619745454,0.5016666666666667,0.2328929752111435,,,
kmnist_ae32_e5_kmeans,outputs\runs\kmnist_ae32_e5_kmeans,kmnist_ae32_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,32,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.10943734381184274,0.24499543409762298,0.354,0.1409914195537567,0.25978068755163414,0.38449037716781276,0.50375,0.17387224733829498,,,
kmnist_ae64_e5_kmeans,outputs\runs\kmnist_ae64_e5_kmeans,kmnist_ae64_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,64,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.10044129111075184,0.24215437012747626,0.34833333333333333,0.14799122512340546,0.24712839125666813,0.386139861200465,0.5035,0.17142462730407715,,,
